Year,Month,Day,atmpressure,Humidity,Precipitation,Temperature,ph,Rainfall,soilmoisture
2019,5,1,1009,27,0,41,6.502985292,1,5.8
2019,5,2,1008,29,0,38,7.038096361,1,6
2019,5,3,1011,61,5,34,7.840207144,1,8
2019,5,4,1011,69,0,38,6.980400905,1,6
2019,5,5,1010,50,0,41,7.628472891,1,5.8
2019,5,6,1010,32,0,42,7.073453503,0,5.2
2019,5,7,1008,45,0.3,41,5.70080568,1,5.8
2019,5,8,1010,51,0.8,40,5.718627178,1,6
2019,5,9,1011,66,2,42,6.685346424,0,5.2
2019,5,10,1007,58,0.3,42,6.336253525,0,5.2
2019,5,11,1006,40,0,42,5.386167788,0,5.2
2019,5,12,1007,48,0,44,7.50283396,0,4.7
2019,5,13,1008,40,0,43,5.108681786,0,4
2019,5,14,1006,51,3,44,6.98435366,0,4.7
2019,5,15,1010,42,0,45,6.94801983,0,4.5
2019,5,16,1002,45,0,46,7.042299069,0,4.2
2019,5,17,1001,38,0,45,6.249050656,0,4.5
2019,5,18,1001,30,0,44,6.970859754,0,4.7
2019,5,19,1003,46,0,42,5.953933276,0,5.2
2019,5,20,1006,69,0,40,5.85393208,1,6
2019,5,21,1005,74,0.5,40,6.442475375,1,6
2019,5,22,1003,51,0,40,5.070175667,1,6
2019,5,23,1004,46,0,42,6.012632591,0,5.2
2019,5,24,1006,40,0,40,6.254028451,1,6
2019,5,25,1009,46,0,41,7.375482851,1,5.8
2019,5,26,1005,48,0,37,7.778915154,1,6.4
2019,5,27,1007,58,0,41,6.286500176,1,5.8
2019,5,28,1008,52,0,42,7.070959995,0,5.2
2019,5,29,1009,42,0,42,6.244841491,0,5.2
2019,5,30,1009,38,0,43,6.043304899,0,4
2019,5,31,1008,34,0,44,5.824709117,0,4.7
2019,6,1,1007,27,0,45,6.95802,0,4.5
2019,6,2,1007,27,0,44,6.97086,0,4.7
2019,6,3,1007,51,0,45,6.24905,0,4.5
2019,6,4,1006,47,0,44,6.97086,0,4.7
2019,6,5,1004,43,0,44,6.97086,0,4.7
2019,6,6,1003,34,0,43,5.10868,0,4
2019,6,7,1003,41,0,41,7.37548,1,5.8
2019,6,8,1004,62,0,41,7.37548,1,5.8
2019,6,9,1004,58,0,40,6.25403,1,6
2019,6,10,1004,49,0,39,6.52349,1,5.9
2019,6,11,1004,52,0,39,6.52349,1,5.9
2019,6,12,1002,46,0,40,6.25403,1,6
2019,6,13,1003,41,0,42,7.07096,0,5.2
2019,6,14,1003,46,0,42,7.07096,0,5.2
2019,6,15,1004,52,0,41,7.37548,1,5.8
2019,6,16,1005,66,0,41,7.37548,1,5.8
2019,6,17,1004,89,0,40,6.25403,1,6
2019,6,18,1003,84,0,37,6.5412,1,6.2
2019,6,19,1006,79,0,40,6.25403,1,6
2019,6,20,1007,62,3,40,6.25403,1,6
2019,6,21,1004,62,0,40,6.25403,1,6
2019,6,22,1005,66,0,39,6.52349,1,5.9
2019,6,23,1005,84,0,39,6.52349,1,5.9
2019,6,24,1003,94,2,35,7.96251,1,7.9
2019,6,25,1005,84,0.2,39,6.52349,1,5.9
2019,6,26,1005,62,4,42,7.07096,0,5.2
2019,6,27,1003,100,0,33,6.32589,1,8.5
2019,6,28,1003,100,0,31,6.50276,1,9
2019,6,29,1001,100,0,31,7.96521,1,9
2019,6,30,1007,94,6,36,7.01096,1,7.5
